Month,Bananas,Navel Oranges,White Bread,Tomatoes,Whole Chicken,Eggs,Ground Beef,Milk
Mar 2020,0.576,1.174,1.374,,1.4,1.525,4.108,3.248
Apr 2020,0.581,,1.406,,1.571,2.019,4.343,3.267
May 2020,0.589,1.209,1.412,1.851,,1.64,4.789,3.21
June 2020,0.588,1.296,1.474,1.922,1.747,1.554,5.33,3.198
July 2020,0.58,,1.485,1.977,1.712,1.401,4.732,3.255
Aug 2020,0.576,,1.495,1.874,1.609,1.328,4.307,3.406
Sept 2020,0.574,,1.492,1.847,1.542,1.353,4.165,3.448
Oct 2020,0.577,,1.503,1.911,1.58,1.408,4.212,3.38
Nov 2020,0.578,,1.515,1.935,1.639,1.45,4.33,3.425
Dec 2020,0.572,1.329,1.538,1.893,1.621,1.481,4.202,3.535
Jan 2021,0.597,1.303,1.546,1.928,1.595,1.466,4.31,3.468
Feb 2021,0.59,1.321,1.537,1.838,1.583,1.597,4.252,3.368
Mar 2021,0.594,1.266,1.526,1.768,1.543,1.625,4.377,3.348
Apr 2021,0.604,1.32,1.51,1.786,1.515,1.62,4.29,3.447
May 2021,0.6,1.317,1.511,1.804,1.486,1.625,4.495,3.497
June 2021,0.595,1.354,1.51,1.83,1.474,1.642,4.565,3.557
July 2021,0.594,,1.491,1.827,1.435,1.642,4.521,3.627
Aug 2021,0.589,,1.467,1.858,1.472,1.709,4.636,3.56
Sept 2021,0.597,,1.58,1.828,1.504,1.835,4.786,3.585
Oct 2021,0.6,1.49,1.526,1.892,1.523,1.821,4.869,3.663
Nov 2021,0.619,1.44,1.547,1.924,1.583,1.718,4.81,3.671
Dec 2021,0.622,1.448,1.532,1.906,1.606,1.788,4.792,3.743
Jan 2022,0.63,1.427,1.555,1.892,1.622,1.929,4.765,3.787
Feb 2022,0.628,1.445,1.578,1.826,1.632,2.005,4.627,3.875
Mar 2022,0.642,1.48,1.607,1.827,1.724,2.046,4.87,3.917
Apr 2022,0.637,1.505,1.612,1.794,1.794,2.52,4.945,4.012
May 2022,0.642,1.546,1.606,1.819,1.824,2.863,4.894,4.204
June 2022,0.64,1.6,1.691,1.842,1.826,2.707,4.997,4.153
July 2022,0.64,,1.715,1.842,1.88,2.936,5.075,4.156
Aug 2022,0.643,1.703,1.756,1.89,1.879,3.116,5.12,4.194
Sept 2022,0.643,1.73,1.749,1.901,1.891,2.902,4.89,4.181
Oct 2022,0.634,1.73,1.814,1.974,1.863,3.419,4.789,4.184
Nov 2022,0.631,1.641,1.847,2.107,1.843,3.589,4.728,4.218
Dec 2022,0.628,1.485,1.873,2.228,1.83,4.25,4.758,4.211
Jan 2023,0.639,1.514,1.888,2.11,1.855,4.823,4.644,4.204
Feb 2023,0.641,1.549,1.896,1.99,1.894,4.211,4.777,4.163
Mar 2023,0.632,1.509,1.936,1.932,1.868,3.446,4.753,4.098
Apr 2023,0.635,1.53,1.989,1.874,1.873,3.27,4.747,4.042
May 2023,0.628,1.512,1.951,1.798,1.92,2.666,4.953,4.042
June 2023,0.625,1.535,1.937,1.911,1.953,2.219,5.106,3.985
July 2023,0.631,1.591,1.98,1.896,1.891,2.094,5.253,3.971
Aug 2023,0.631,1.623,1.97,1.877,1.958,2.043,5.259,3.927
Sept 2023,0.625,1.637,1.972,1.844,1.901,2.065,5.185,3.965
Oct 2023,0.626,1.693,2.002,1.865,1.926,2.072,5.349,3.927
Nov 2023,0.627,1.664,1.976,1.942,1.976,2.138,5.201,3.997
Dec 2023,0.625,1.601,2.024,1.995,1.955,2.507,5.118,4.008
Jan 2024,0.617,1.55,2.033,2.146,1.987,2.522,5.093,3.958
Feb 2024,0.625,1.532,2.006,2.132,1.951,2.996,5.213,3.94
Mar 2024,0.629,1.516,1.997,2.044,1.991,2.992,5.421,3.893
Apr 2024,0.626,1.475,1.998,1.962,1.953,2.864,5.277,3.868
May 2024,0.622,1.545,1.971,1.859,2.013,2.699,5.331,3.864
June 2024,0.625,1.582,1.973,1.843,2.007,2.715,5.364,3.956
July 2024,0.613,1.627,1.975,1.945,1.988,3.08,5.47,3.983
Aug 2024,0.612,1.728,1.951,1.996,1.988,3.204,5.638,4.044
Sept 2024,0.617,1.733,1.976,1.936,1.979,3.821,5.576,4.021
Oct 2024,0.619,1.805,1.937,1.98,1.987,3.37,5.586,4.041
Nov 2024,0.622,1.729,1.916,2.03,2.076,3.649,5.605,4.138
Dec 2024,0.615,1.564,1.912,2.067,2.061,4.146,5.576,4.101
Jan 2025,0.621,1.531,1.925,2.05,2.061,4.953,5.495,4.025
